dataset,model,num_datasets,dataset_type,score,model_type
harmbench,mistral7b_inst,aegis+toxichat,harmful,0.7486910994764397,Hidden States GDA
harmbench,mistral7b_inst,wildguard+aegis+toxichat,harmful,0.8909512761020881,Hidden States GDA
openai_mod,mistral7b_inst,wildguard,harmful,0.687402799377916,Hidden States GDA
openai_mod,mistral7b_inst,aegis,harmful,0.6747676912080057,Hidden States GDA
openai_mod,mistral7b_inst,toxichat,harmful,0.7162022703818369,Hidden States GDA
openai_mod,mistral7b_inst,wildguard+aegis,harmful,0.6951219512195121,Hidden States GDA
openai_mod,mistral7b_inst,wildguard+toxichat,harmful,0.694488188976378,Hidden States GDA
openai_mod,mistral7b_inst,aegis+toxichat,harmful,0.6661654135338346,Hidden States GDA
openai_mod,mistral7b_inst,wildguard+aegis+toxichat,harmful,0.6940639269406392,Hidden States GDA
mmlu,mistral7b_inst,wildguard,non_harmful,0.9916180758017493,Hidden States GDA
mmlu,mistral7b_inst,aegis,non_harmful,0.9952623906705539,Hidden States GDA
mmlu,mistral7b_inst,toxichat,non_harmful,1.0,Hidden States GDA
mmlu,mistral7b_inst,wildguard+aegis,non_harmful,0.9952623906705539,Hidden States GDA
mmlu,mistral7b_inst,wildguard+toxichat,non_harmful,0.9927113702623906,Hidden States GDA
mmlu,mistral7b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
mmlu,mistral7b_inst,wildguard+aegis+toxichat,non_harmful,0.9930758017492711,Hidden States GDA
codex,mistral7b_inst,wildguard,non_harmful,0.9878048780487805,Hidden States GDA
codex,mistral7b_inst,aegis,non_harmful,1.0,Hidden States GDA
codex,mistral7b_inst,toxichat,non_harmful,1.0,Hidden States GDA
codex,mistral7b_inst,wildguard+aegis,non_harmful,0.9878048780487805,Hidden States GDA
codex,mistral7b_inst,wildguard+toxichat,non_harmful,1.0,Hidden States GDA
codex,mistral7b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
codex,mistral7b_inst,wildguard+aegis+toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,mistral7b_inst,wildguard,non_harmful,1.0,Hidden States GDA
gsm8k,mistral7b_inst,aegis,non_harmful,0.9954510993176648,Hidden States GDA
gsm8k,mistral7b_inst,toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,mistral7b_inst,wildguard+aegis,non_harmful,1.0,Hidden States GDA
gsm8k,mistral7b_inst,wildguard+toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,mistral7b_inst,aegis+toxichat,non_harmful,1.0,Hidden States GDA
gsm8k,mistral7b_inst,wildguard+aegis+toxichat,non_harmful,1.0,Hidden States GDA
bbh,mistral7b_inst,wildguard,non_harmful,0.5416666666666666,Hidden States GDA
bbh,mistral7b_inst,aegis,non_harmful,0.8324074074074074,Hidden States GDA
bbh,mistral7b_inst,toxichat,non_harmful,1.0,Hidden States GDA
bbh,mistral7b_inst,wildguard+aegis,non_harmful,0.6925925925925925,Hidden States GDA
bbh,mistral7b_inst,wildguard+toxichat,non_harmful,1.0,Hidden States GDA
bbh,mistral7b_inst,aegis+toxichat,non_harmful,0.9981481481481481,Hidden States GDA
bbh,mistral7b_inst,wildguard+aegis+toxichat,non_harmful,0.9981481481481481,Hidden States GDA
mtbench,mistral7b_inst,wildguard,non_harmful,0.925,Hidden States GDA
mtbench,mistral7b_inst,aegis,non_harmful,0.9625,Hidden States GDA
mtbench,mistral7b_inst,toxichat,non_harmful,0.9875,Hidden States GDA
mtbench,mistral7b_inst,wildguard+aegis,non_harmful,0.925,Hidden States GDA
mtbench,mistral7b_inst,wildguard+toxichat,non_harmful,0.9625,Hidden States GDA
mtbench,mistral7b_inst,aegis+toxichat,non_harmful,0.9875,Hidden States GDA
mtbench,mistral7b_inst,wildguard+aegis+toxichat,non_harmful,0.9625,Hidden States GDA
truthfulqa,mistral7b_inst,wildguard,non_harmful,0.9379746835443038,Hidden States GDA
truthfulqa,mistral7b_inst,aegis,non_harmful,0.779746835443038,Hidden States GDA
truthfulqa,mistral7b_inst,toxichat,non_harmful,0.9987341772151899,Hidden States GDA
truthfulqa,mistral7b_inst,wildguard+aegis,non_harmful,0.9379746835443038,Hidden States GDA
truthfulqa,mistral7b_inst,wildguard+toxichat,non_harmful,0.9455696202531646,Hidden States GDA
truthfulqa,mistral7b_inst,aegis+toxichat,non_harmful,0.8734177215189873,Hidden States GDA
truthfulqa,mistral7b_inst,wildguard+aegis+toxichat,non_harmful,0.9455696202531646,Hidden States GDA
alpaca_eval,mistral7b_inst,wildguard,non_harmful,0.9229813664596274,Hidden States GDA
alpaca_eval,mistral7b_inst,aegis,non_harmful,0.9565217391304348,Hidden States GDA
alpaca_eval,mistral7b_inst,toxichat,non_harmful,0.9937888198757764,Hidden States GDA
alpaca_eval,mistral7b_inst,wildguard+aegis,non_harmful,0.9105590062111801,Hidden States GDA
alpaca_eval,mistral7b_inst,wildguard+toxichat,non_harmful,0.9714285714285714,Hidden States GDA
alpaca_eval,mistral7b_inst,aegis+toxichat,non_harmful,0.9788819875776398,Hidden States GDA
alpaca_eval,mistral7b_inst,wildguard+aegis+toxichat,non_harmful,0.9664596273291925,Hidden States GDA
wildjailbreak_test,olmo2_1124_7b_inst,wildguard,harmful,0.9663843982550681,Hidden States GDA
wildjailbreak_test,olmo2_1124_7b_inst,aegis,harmful,0.9380577427821523,Hidden States GDA
wildjailbreak_test,olmo2_1124_7b_inst,toxichat,harmful,0.9264392324093816,Hidden States GDA
