model,dataset,layer,accuracy,f1,true_positive_rate,true_negative_rate,roc_auc,average_precision,negative_support,positive_support,Classification_Type,num_layers
mistral7b_inst,wildguardtest,2,0.7828134196586227,0.7284768211920529,0.656498673740053,0.8835978835978836,0.8524932283552973,0.8352861094847712,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,3,0.7898763978811065,0.7357512953367875,0.6591511936339522,0.8941798941798942,0.8582038651004169,0.846981151238435,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,4,0.7928193054738081,0.7365269461077845,0.6525198938992043,0.9047619047619048,0.8628492835389387,0.8498018502166662,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,5,0.8169511477339612,0.7677371172516804,0.6816976127320955,0.9248677248677248,0.8951538882573364,0.8704971651000822,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,6,0.8328428487345497,0.7914831130690162,0.7148541114058355,0.926984126984127,0.9032798619005515,0.8772050858120893,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,7,0.8475573866980577,0.80997798972854,0.7320954907161804,0.9396825396825397,0.9172322568874294,0.8941244760000095,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,8,0.8528546203649205,0.8175182481751825,0.7427055702917772,0.9407407407407408,0.9254143685178169,0.8998346346127482,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,9,0.8658034137728076,0.8354978354978355,0.7679045092838196,0.9439153439153439,0.9341297910263427,0.9133010380398817,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,10,0.8746321365509123,0.8464311463590483,0.7785145888594165,0.9513227513227513,0.9355269251820976,0.9136733765669269,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,11,0.8763978811065333,0.8506401137980085,0.7931034482758621,0.9428571428571428,0.9385260971467868,0.9183886959080725,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,12,0.8781636256621542,0.8530872959545777,0.7970822281167109,0.9428571428571428,0.940102171136654,0.9242932472824205,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,13,0.886992348440259,0.8638297872340426,0.8076923076923077,0.9502645502645503,0.9474983509466267,0.9337579660970293,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,14,0.8928781636256622,0.8723702664796634,0.8249336870026526,0.9470899470899471,0.9493045906839012,0.938251535815503,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,15,0.8887580929958799,0.8675543097407148,0.8209549071618037,0.9428571428571428,0.9481060446577688,0.9338343019415142,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,16,0.8905238375515009,0.8695652173913043,0.8222811671087533,0.944973544973545,0.9502140260760952,0.9394078149610722,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,17,0.8940553266627428,0.8737727910238429,0.8262599469496021,0.9481481481481482,0.9496519444795307,0.942135806755621,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,18,0.8893466745144203,0.8681626928471248,0.8209549071618037,0.9439153439153439,0.9474120387913493,0.9409314722906871,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,19,0.885226603884638,0.8625792811839323,0.8116710875331565,0.9439153439153439,0.946358048082186,0.9353615349490156,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,20,0.8893466745144203,0.8681626928471248,0.8209549071618037,0.9439153439153439,0.9460471839782184,0.9366222467742501,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,21,0.886992348440259,0.8651685393258427,0.8169761273209549,0.9428571428571428,0.9457798268143096,0.9368254110690387,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,22,0.885226603884638,0.8631578947368421,0.8156498673740054,0.9407407407407408,0.9421862939104318,0.9339032370273632,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,23,0.8840494408475574,0.8621413575927221,0.8169761273209549,0.9375661375661376,0.9430725723829172,0.9358797093837553,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,24,0.8840494408475574,0.861948142957253,0.8156498673740054,0.9386243386243386,0.9439567456808836,0.937025627737276,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,25,0.8840494408475574,0.8623340321453529,0.8183023872679045,0.9365079365079365,0.9436241281068867,0.9356854380354745,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,26,0.8805179517363155,0.8577435178696566,0.8116710875331565,0.9354497354497354,0.9427006582178995,0.9351124889689875,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,27,0.8858151854031784,0.8641456582633054,0.8183023872679045,0.9396825396825397,0.9411933532623187,0.9331544517394448,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,28,0.885226603884638,0.8639218422889045,0.8209549071618037,0.9365079365079365,0.9414922880440122,0.9324255820234901,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,29,0.8811065332548558,0.8595271210013908,0.8196286472148541,0.9301587301587302,0.9397120121258051,0.9309145093778952,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,30,0.8822836962919365,0.8609179415855355,0.8209549071618037,0.9312169312169312,0.9398607777918122,0.9298155196459824,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,31,0.8793407886992348,0.8571428571428571,0.8156498673740054,0.9301587301587302,0.9377885843403084,0.9266739906411275,945,754,Hidden States Maha,32.0
mistral7b_inst,wildguardtest,32,0.8763978811065333,0.8531468531468531,0.8090185676392573,0.9301587301587302,0.93717387338077,0.9242138757044612,945,754,Hidden States Maha,32.0
olmo2_1124_7b,wildguardtest,0,0.6344908769864627,0.6164298949969117,0.6618037135278515,0.6126984126984127,0.6422403267230853,0.5453973944069274,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,1,0.7410241318422601,0.6857142857142857,0.636604774535809,0.8243386243386244,0.784414691311243,0.7781561218724451,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,2,0.7451442024720424,0.6790214974054856,0.6074270557029178,0.855026455026455,0.8126724488793454,0.791171021503883,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,3,0.7675103001765744,0.7067557535263549,0.6312997347480106,0.8761904761904762,0.8353388629250698,0.8176983319307876,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,4,0.7845791642142437,0.7272727272727273,0.6472148541114059,0.8941798941798942,0.8595995958064924,0.8404402710860125,945,754,Hidden States Maha,
olmo2_1124_7b,wildguardtest,5,0.7881106533254856,0.7325408618127786,0.6538461538461539,0.8952380952380953,0.8586508638232775,0.8333114003530558,945,754,Hidden States Maha,
